Schema_Type,Name_Length,Name_Component_Length,Number_of_Publications,Schema_Size
Vans,2,2,1,80
Vans,2,2,2,120
Vans,2,2,3,160
Vans,2,2,4,200
Vans,2,2,5,238
Vans,2,2,6,280
Vans,2,2,7,320
Vans,2,2,8,362
Vans,2,2,9,400
Vans,2,2,10,443
Vans,2,2,11,485
Vans,2,2,12,518
Vans,2,2,13,560
Vans,2,2,14,606
Vans,2,2,15,640
Simplified,2,2,1,50
Simplified,2,2,2,69
Simplified,2,2,3,88
Simplified,2,2,4,107
Simplified,2,2,5,126
Simplified,2,2,6,151
Simplified,2,2,7,164
Simplified,2,2,8,189
Simplified,2,2,9,202
Simplified,2,2,10,227
Simplified,2,2,11,240
Simplified,2,2,12,261
Simplified,2,2,13,286
Simplified,2,2,14,305
Simplified,2,2,15,330
NC,2,2,1,31
NC,2,2,2,40
NC,2,2,3,49
NC,2,2,4,58
NC,2,2,5,67
NC,2,2,6,76
NC,2,2,7,85
NC,2,2,8,94
NC,2,2,9,103
NC,2,2,10,112
NC,2,2,11,121
NC,2,2,12,130
NC,2,2,13,139
NC,2,2,14,148
NC,2,2,15,157
Vans,2,3,1,83
Vans,2,3,2,126
Vans,2,3,3,169
Vans,2,3,4,212
Vans,2,3,5,257
Vans,2,3,6,300
Vans,2,3,7,343
Vans,2,3,8,386
Vans,2,3,9,429
Vans,2,3,10,472
Vans,2,3,11,515
Vans,2,3,12,558
Vans,2,3,13,601
Vans,2,3,14,644
Vans,2,3,15,684
Simplified,2,3,1,53
Simplified,2,3,2,75
Simplified,2,3,3,97
Simplified,2,3,4,119
Simplified,2,3,5,141
Simplified,2,3,6,163
Simplified,2,3,7,185
Simplified,2,3,8,207
Simplified,2,3,9,229
Simplified,2,3,10,251
Simplified,2,3,11,275
Simplified,2,3,12,297
Simplified,2,3,13,319
Simplified,2,3,14,341
Simplified,2,3,15,363
NC,2,3,1,33
NC,2,3,2,44
NC,2,3,3,55
NC,2,3,4,66
NC,2,3,5,77
NC,2,3,6,88
NC,2,3,7,99
NC,2,3,8,110
NC,2,3,9,121
NC,2,3,10,132
NC,2,3,11,143
NC,2,3,12,154
NC,2,3,13,165
NC,2,3,14,176
NC,2,3,15,187
Vans,2,4,1,86
Vans,2,4,2,132
Vans,2,4,3,178
Vans,2,4,4,224
Vans,2,4,5,272
Vans,2,4,6,318
Vans,2,4,7,364
Vans,2,4,8,410
Vans,2,4,9,456
Vans,2,4,10,502
Vans,2,4,11,548
Vans,2,4,12,594
Vans,2,4,13,640
Vans,2,4,14,686
Vans,2,4,15,732
Simplified,2,4,1,56
Simplified,2,4,2,81
Simplified,2,4,3,106
Simplified,2,4,4,131
Simplified,2,4,5,156
Simplified,2,4,6,181
Simplified,2,4,7,206
Simplified,2,4,8,231
Simplified,2,4,9,258
Simplified,2,4,10,283
Simplified,2,4,11,308
Simplified,2,4,12,333
Simplified,2,4,13,358
Simplified,2,4,14,383
Simplified,2,4,15,408
NC,2,4,1,36
NC,2,4,2,50
NC,2,4,3,64
NC,2,4,4,78
NC,2,4,5,92
NC,2,4,6,106
NC,2,4,7,120
NC,2,4,8,134
NC,2,4,9,148
NC,2,4,10,162
NC,2,4,11,176
NC,2,4,12,190
NC,2,4,13,204
NC,2,4,14,218
NC,2,4,15,232
Vans,2,5,1,89
Vans,2,5,2,138
Vans,2,5,3,187
Vans,2,5,4,236
Vans,2,5,5,287
Vans,2,5,6,336
Vans,2,5,7,386
Vans,2,5,8,434
Vans,2,5,9,483
Vans,2,5,10,532
Vans,2,5,11,581
Vans,2,5,12,630
Vans,2,5,13,679
Vans,2,5,14,728
Vans,2,5,15,777
Simplified,2,5,1,59
Simplified,2,5,2,87
Simplified,2,5,3,115
Simplified,2,5,4,143
Simplified,2,5,5,171
Simplified,2,5,6,199
Simplified,2,5,7,227
Simplified,2,5,8,257
Simplified,2,5,9,285
Simplified,2,5,10,313
Simplified,2,5,11,341
Simplified,2,5,12,369
Simplified,2,5,13,397
Simplified,2,5,14,425
Simplified,2,5,15,459
NC,2,5,1,38
NC,2,5,2,54
NC,2,5,3,70
NC,2,5,4,86
NC,2,5,5,102
NC,2,5,6,118
NC,2,5,7,134
NC,2,5,8,150
NC,2,5,9,166
NC,2,5,10,182
NC,2,5,11,198
NC,2,5,12,214
NC,2,5,13,230
NC,2,5,14,246
NC,2,5,15,264
Vans,2,6,1,92
Vans,2,6,2,144
Vans,2,6,3,196
Vans,2,6,4,248
Vans,2,6,5,302
Vans,2,6,6,354
Vans,2,6,7,406
Vans,2,6,8,458
Vans,2,6,9,510
Vans,2,6,10,562
Vans,2,6,11,614
Vans,2,6,12,666
Vans,2,6,13,720
Vans,2,6,14,778
Vans,2,6,15,834
Simplified,2,6,1,62
Simplified,2,6,2,93
Simplified,2,6,3,124
Simplified,2,6,4,155
Simplified,2,6,5,186
Simplified,2,6,6,217
Simplified,2,6,7,248
Simplified,2,6,8,281
Simplified,2,6,9,312
Simplified,2,6,10,343
Simplified,2,6,11,374
Simplified,2,6,12,405
Simplified,2,6,13,438
Simplified,2,6,14,473
Simplified,2,6,15,510
NC,2,6,1,40
NC,2,6,2,58
NC,2,6,3,76
NC,2,6,4,94
NC,2,6,5,112
NC,2,6,6,130
NC,2,6,7,148
NC,2,6,8,166
NC,2,6,9,184
NC,2,6,10,202
NC,2,6,11,220
NC,2,6,12,238
NC,2,6,13,258
NC,2,6,14,276
NC,2,6,15,296
Vans,3,2,1,86
Vans,3,2,2,132
Vans,3,2,3,178
Vans,3,2,4,222
Vans,3,2,5,270
Vans,3,2,6,318
Vans,3,2,7,362
Vans,3,2,8,406
Vans,3,2,9,454
Vans,3,2,10,502
Vans,3,2,11,550
Vans,3,2,12,594
Vans,3,2,13,642
Vans,3,2,14,684
Vans,3,2,15,724
Simplified,3,2,1,55
Simplified,3,2,2,79
Simplified,3,2,3,103
Simplified,3,2,4,127
Simplified,3,2,5,151
Simplified,3,2,6,181
Simplified,3,2,7,199
Simplified,3,2,8,229
Simplified,3,2,9,247
Simplified,3,2,10,279
Simplified,3,2,11,297
Simplified,3,2,12,321
Simplified,3,2,13,375
Simplified,3,2,14,369
Simplified,3,2,15,399
NC,3,2,1,34
NC,3,2,2,46
NC,3,2,3,58
NC,3,2,4,70
NC,3,2,5,82
NC,3,2,6,94
NC,3,2,7,106
NC,3,2,8,118
NC,3,2,9,130
NC,3,2,10,142
NC,3,2,11,154
NC,3,2,12,166
NC,3,2,13,178
NC,3,2,14,190
NC,3,2,15,202
Vans,3,3,1,90
Vans,3,3,2,140
Vans,3,3,3,190
Vans,3,3,4,237
Vans,3,3,5,292
Vans,3,3,6,342
Vans,3,3,7,392
Vans,3,3,8,442
Vans,3,3,9,492
Vans,3,3,10,542
Vans,3,3,11,592
Vans,3,3,12,642
Vans,3,3,13,692
Vans,3,3,14,742
Vans,3,3,15,796
Simplified,3,3,1,59
Simplified,3,3,2,87
Simplified,3,3,3,115
Simplified,3,3,4,143
Simplified,3,3,5,171
Simplified,3,3,6,199
Simplified,3,3,7,227
Simplified,3,3,8,257
Simplified,3,3,9,285
Simplified,3,3,10,313
Simplified,3,3,11,341
Simplified,3,3,12,369
Simplified,3,3,13,397
Simplified,3,3,14,431
Simplified,3,3,15,453
NC,3,3,1,38
NC,3,3,2,54
NC,3,3,3,70
NC,3,3,4,86
NC,3,3,5,102
NC,3,3,6,118
NC,3,3,7,134
NC,3,3,8,150
NC,3,3,9,166
NC,3,3,10,182
NC,3,3,11,198
NC,3,3,12,214
NC,3,3,13,230
NC,3,3,14,246
NC,3,3,15,264
Vans,3,4,1,94
Vans,3,4,2,148
Vans,3,4,3,202
Vans,3,4,4,258
Vans,3,4,5,312
Vans,3,4,6,366
Vans,3,4,7,420
Vans,3,4,8,474
