Schema_Type,Name_Length,Name_Component_Length,Number_of_Publications,Schema_Size
Vans,2,2,1,80
Vans,2,2,2,116
Vans,2,2,3,152
Vans,2,2,4,189
Vans,2,2,5,224
Vans,2,2,6,262
Vans,2,2,7,298
Vans,2,2,8,334
Vans,2,2,9,371
Vans,2,2,10,406
Vans,2,2,11,443
Vans,2,2,12,478
Vans,2,2,13,514
Vans,2,2,14,551
Vans,2,2,15,584
Simplified,2,2,1,50
Simplified,2,2,2,65
Simplified,2,2,3,80
Simplified,2,2,4,95
Simplified,2,2,5,110
Simplified,2,2,6,131
Simplified,2,2,7,140
Simplified,2,2,8,155
Simplified,2,2,9,170
Simplified,2,2,10,185
Simplified,2,2,11,200
Simplified,2,2,12,215
Simplified,2,2,13,230
Simplified,2,2,14,245
Simplified,2,2,15,262
NC,2,2,1,31
NC,2,2,2,40
NC,2,2,3,49
NC,2,2,4,58
NC,2,2,5,67
NC,2,2,6,76
NC,2,2,7,85
NC,2,2,8,94
NC,2,2,9,103
NC,2,2,10,112
NC,2,2,11,121
NC,2,2,12,130
NC,2,2,13,139
NC,2,2,14,148
NC,2,2,15,157
Vans,2,3,1,83
Vans,2,3,2,121
Vans,2,3,3,159
Vans,2,3,4,197
Vans,2,3,5,235
Vans,2,3,6,275
Vans,2,3,7,313
Vans,2,3,8,351
Vans,2,3,9,389
Vans,2,3,10,427
Vans,2,3,11,465
Vans,2,3,12,503
Vans,2,3,13,542
Vans,2,3,14,579
Vans,2,3,15,617
Simplified,2,3,1,53
Simplified,2,3,2,70
Simplified,2,3,3,87
Simplified,2,3,4,104
Simplified,2,3,5,121
Simplified,2,3,6,138
Simplified,2,3,7,155
Simplified,2,3,8,172
Simplified,2,3,9,189
Simplified,2,3,10,206
Simplified,2,3,11,223
Simplified,2,3,12,240
Simplified,2,3,13,259
Simplified,2,3,14,276
Simplified,2,3,15,293
NC,2,3,1,33
NC,2,3,2,44
NC,2,3,3,55
NC,2,3,4,66
NC,2,3,5,77
NC,2,3,6,88
NC,2,3,7,99
NC,2,3,8,110
NC,2,3,9,121
NC,2,3,10,132
NC,2,3,11,143
NC,2,3,12,154
NC,2,3,13,165
NC,2,3,14,176
NC,2,3,15,187
Vans,2,4,1,86
Vans,2,4,2,126
Vans,2,4,3,166
Vans,2,4,4,206
Vans,2,4,5,246
Vans,2,4,6,288
Vans,2,4,7,328
Vans,2,4,8,368
Vans,2,4,9,408
Vans,2,4,10,448
Vans,2,4,11,488
Vans,2,4,12,528
Vans,2,4,13,568
Vans,2,4,14,608
Vans,2,4,15,648
Simplified,2,4,1,56
Simplified,2,4,2,75
Simplified,2,4,3,94
Simplified,2,4,4,113
Simplified,2,4,5,132
Simplified,2,4,6,151
Simplified,2,4,7,170
Simplified,2,4,8,189
Simplified,2,4,9,208
Simplified,2,4,10,227
Simplified,2,4,11,246
Simplified,2,4,12,267
Simplified,2,4,13,286
Simplified,2,4,14,305
Simplified,2,4,15,324
NC,2,4,1,36
NC,2,4,2,50
NC,2,4,3,64
NC,2,4,4,78
NC,2,4,5,92
NC,2,4,6,106
NC,2,4,7,120
NC,2,4,8,134
NC,2,4,9,148
NC,2,4,10,162
NC,2,4,11,176
NC,2,4,12,190
NC,2,4,13,204
NC,2,4,14,218
NC,2,4,15,232
